type,uri,dc.id,collection,notation,"prefLabel",altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf,type_status,layer,typevoorschrift,typevoorschriften.uitdovend
skos:Concept,ct:03104_02,,,03104_02,"ecologische infrastructuur",,ct:031,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,ONWAAR,ONWAAR
skos:Concept,ct:04101_00,,,04101_00,"randstedelijk groengebied",,ct:041,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,ONWAAR,ONWAAR
skos:Concept,ct:04102_04,,,04102_04,"gemengd openruimtegebied",,ct:041,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,WAAR,ONWAAR
skos:Concept,ct:04102_00,,,04102_00,"gemengd openruimtegebied",,ct:041,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,WAAR,ONWAAR
skos:Concept,ct:04102_02,,,04102_02,"gemengd openruimtegebied",,ct:041,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,WAAR,ONWAAR
skos:Concept,ct:04102_01,,,04102_01,"gemengd openruimtegebied",,ct:041,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,WAAR,ONWAAR
skos:Concept,ct:04102_03,,,04102_03,"gemengd openruimtegebied",,ct:041,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,WAAR,ONWAAR
skos:Concept,ct:04105_00,,,04105_00,"structurerend groengebied (deze code komt ook voor met legende donkerblauwe arcering = beekvallei)",,ct:041,,,,,,,,,,,cs:plan_legende,,,,,,,,L,detail,ONWAAR,ONWAAR
skos:Concept,ct:04105_01,,,04105_01,"structurerend groengebied (deze code komt ook voor met legende donkerblauwe arcering = beekvallei)",,ct:041,,,,,,,,,,,cs:plan_legende,,,,,,,,L,detail,ONWAAR,ONWAAR
skos:Concept,ct:04105_03,,,04105_03,"structurerend groengebied (deze code komt ook voor met legende donkerblauwe arcering = beekvallei)",,ct:041,,,,,,,,,,,cs:plan_legende,,,,,,,,L,detail,ONWAAR,ONWAAR
